timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1529314145199,32,HTTP Request,200,OK,Thread Group 1-30,text,true,,2598,187,52,52,32,0,22
1529314145219,14,HTTP Request,200,OK,Thread Group 1-34,text,true,,2598,187,52,52,14,0,3
1529314145199,34,HTTP Request,200,OK,Thread Group 1-47,text,true,,2598,187,52,52,34,0,24
1529314145211,23,HTTP Request,200,OK,Thread Group 1-5,text,true,,2598,187,52,52,23,0,1
1529314145209,25,HTTP Request,200,OK,Thread Group 1-8,text,true,,2598,187,52,52,25,0,13
1529314145214,20,HTTP Request,200,OK,Thread Group 1-51,text,true,,2598,187,52,52,20,0,1
1529314145217,18,HTTP Request,200,OK,Thread Group 1-19,text,true,,2598,187,52,52,18,0,6
1529314145208,28,HTTP Request,200,OK,Thread Group 1-35,text,true,,2598,187,52,52,28,0,15
1529314145208,28,HTTP Request,200,OK,Thread Group 1-20,text,true,,2598,187,52,52,28,0,16
1529314145220,17,HTTP Request,200,OK,Thread Group 1-17,text,true,,2598,187,52,52,17,0,5
1529314145212,26,HTTP Request,200,OK,Thread Group 1-40,text,true,,2598,187,52,52,26,0,12
1529314145226,13,HTTP Request,200,OK,Thread Group 1-38,text,true,,2598,187,52,52,13,0,1
1529314145227,12,HTTP Request,200,OK,Thread Group 1-9,text,true,,2598,187,52,52,12,0,0
1529314145217,23,HTTP Request,200,OK,Thread Group 1-32,text,true,,2598,187,52,52,23,0,6
1529314145210,31,HTTP Request,200,OK,Thread Group 1-7,text,true,,2598,187,53,53,31,0,14
1529314145211,31,HTTP Request,200,OK,Thread Group 1-4,text,true,,2598,187,53,53,31,0,13
1529314145205,38,HTTP Request,200,OK,Thread Group 1-23,text,true,,2598,187,53,53,38,0,21
1529314145230,13,HTTP Request,200,OK,Thread Group 1-44,text,true,,2598,187,53,53,13,0,0
1529314145216,28,HTTP Request,200,OK,Thread Group 1-18,text,true,,2598,187,53,53,28,0,10
1529314145218,27,HTTP Request,200,OK,Thread Group 1-26,text,true,,2598,187,54,54,27,0,7
1529314145203,42,HTTP Request,200,OK,Thread Group 1-15,text,true,,2598,187,54,54,42,0,22
1529314145222,23,HTTP Request,200,OK,Thread Group 1-25,text,true,,2598,187,54,54,23,0,9
1529314145230,16,HTTP Request,200,OK,Thread Group 1-39,text,true,,2598,187,54,54,16,0,1
1529314145224,22,HTTP Request,200,OK,Thread Group 1-36,text,true,,2598,187,54,54,22,0,7
1529314145214,32,HTTP Request,200,OK,Thread Group 1-37,text,true,,2598,187,54,54,32,0,11
1529314145221,26,HTTP Request,200,OK,Thread Group 1-31,text,true,,2598,187,54,54,26,0,10
1529314145206,41,HTTP Request,200,OK,Thread Group 1-12,text,true,,2598,187,54,54,41,0,20
1529314145222,25,HTTP Request,200,OK,Thread Group 1-33,text,true,,2598,187,54,54,25,0,9
1529314145225,23,HTTP Request,200,OK,Thread Group 1-10,text,true,,2598,187,54,54,23,0,6
1529314145202,46,HTTP Request,200,OK,Thread Group 1-6,text,true,,2598,187,54,54,46,0,28
1529314145225,24,HTTP Request,200,OK,Thread Group 1-29,text,true,,2598,187,54,54,24,0,7
1529314145207,42,HTTP Request,200,OK,Thread Group 1-3,text,true,,2598,187,54,54,42,0,24
1529314145223,26,HTTP Request,200,OK,Thread Group 1-11,text,true,,2598,187,54,54,26,0,9
1529314145229,21,HTTP Request,200,OK,Thread Group 1-2,text,true,,2598,187,54,54,21,0,3
1529314145201,49,HTTP Request,200,OK,Thread Group 1-48,text,true,,2598,187,54,54,49,0,29
1529314145223,28,HTTP Request,200,OK,Thread Group 1-27,text,true,,2598,187,54,54,27,0,9
1529314145212,39,HTTP Request,200,OK,Thread Group 1-13,text,true,,2598,187,54,54,39,0,18
1529314145228,23,HTTP Request,200,OK,Thread Group 1-41,text,true,,2598,187,54,54,23,0,4
1529314145198,54,HTTP Request,200,OK,Thread Group 1-45,text,true,,2598,187,54,54,54,0,34
1529314145220,32,HTTP Request,200,OK,Thread Group 1-49,text,true,,2598,187,54,54,32,0,13
1529314145204,48,HTTP Request,200,OK,Thread Group 1-16,text,true,,2598,187,54,54,48,0,28
1529314145227,25,HTTP Request,200,OK,Thread Group 1-28,text,true,,2598,187,54,54,25,0,6
1529314145227,26,HTTP Request,200,OK,Thread Group 1-24,text,true,,2598,187,54,54,26,0,6
1529314145228,26,HTTP Request,200,OK,Thread Group 1-14,text,true,,2598,187,54,54,26,0,5
1529314145221,33,HTTP Request,200,OK,Thread Group 1-50,text,true,,2598,187,54,54,33,0,32
1529314145220,34,HTTP Request,200,OK,Thread Group 1-1,text,true,,2598,187,54,54,34,0,14
1529314145234,21,HTTP Request,200,OK,Thread Group 1-5,text,true,,2598,187,54,54,21,0,1
1529314145235,20,HTTP Request,200,OK,Thread Group 1-51,text,true,,2598,187,54,54,20,0,1
1529314145235,21,HTTP Request,200,OK,Thread Group 1-52,text,true,,2598,187,54,54,21,0,5
1529314145228,31,HTTP Request,200,OK,Thread Group 1-46,text,true,,2598,187,54,54,31,0,25
1529314145213,35,HTTP Request,200,OK,Thread Group 1-43,text,true,,2598,187,54,54,35,0,16
1529314145239,21,HTTP Request,200,OK,Thread Group 1-38,text,true,,2598,187,54,54,21,0,15
1529314145246,15,HTTP Request,200,OK,Thread Group 1-25,text,true,,2598,187,54,54,15,0,11
1529314145201,60,HTTP Request,200,OK,Thread Group 1-42,text,true,,2598,187,54,54,60,0,52
1529314145251,10,HTTP Request,200,OK,Thread Group 1-27,text,true,,2598,187,54,54,10,0,6
1529314145253,9,HTTP Request,200,OK,Thread Group 1-24,text,true,,2598,187,54,54,9,0,4
1529314145244,18,HTTP Request,200,OK,Thread Group 1-44,text,true,,2598,187,54,54,18,0,11
1529314145229,35,HTTP Request,200,OK,Thread Group 1-21,text,true,,2598,187,54,54,34,0,26
1529314145255,9,HTTP Request,200,OK,Thread Group 1-5,text,true,,2598,187,54,54,9,0,2
1529314145246,19,HTTP Request,200,OK,Thread Group 1-39,text,true,,2598,187,54,54,18,0,9
1529314145249,16,HTTP Request,200,OK,Thread Group 1-29,text,true,,2598,187,54,54,16,0,9
1529314145232,34,HTTP Request,200,OK,Thread Group 1-30,text,true,,2598,187,54,54,34,0,23
1529314145254,12,HTTP Request,200,OK,Thread Group 1-14,text,true,,2598,187,54,54,12,0,4
1529314145242,25,HTTP Request,200,OK,Thread Group 1-4,text,true,,2598,187,54,54,25,0,14
1529314145247,21,HTTP Request,200,OK,Thread Group 1-31,text,true,,2598,187,54,54,21,0,11
1529314145234,34,HTTP Request,200,OK,Thread Group 1-47,text,true,,2598,187,54,54,34,0,24
1529314145254,14,HTTP Request,200,OK,Thread Group 1-1,text,true,,2598,187,54,54,14,0,4
1529314145234,35,HTTP Request,200,OK,Thread Group 1-8,text,true,,2598,187,54,54,35,0,24
1529314145238,31,HTTP Request,200,OK,Thread Group 1-17,text,true,,2598,187,54,54,31,0,19
1529314145250,20,HTTP Request,200,OK,Thread Group 1-2,text,true,,2598,187,54,54,20,0,8
1529314145244,26,HTTP Request,200,OK,Thread Group 1-18,text,true,,2598,187,54,54,26,0,14
